ed,candidacy_id,name,first_choice,final_round,is_major
23001,217572,Eric L. Adams,39,64,True
23001,217796,Andrew Yang,31,0,True
23001,217605,Scott M. Stringer,12,0,True
23001,218117,Paperboy Love Prince,2,0,False
23001,219978,Kathryn A. Garcia,57,84,True
23001,219469,Maya D. Wiley,13,0,True
23001,218127,Raymond J. McGuire,14,0,True
23001,218491,Dianne Morales,2,0,True
23001,221183,Shaun Donovan,5,0,True
23002,217796,Andrew Yang,47,0,True
23002,217605,Scott M. Stringer,11,0,True
23002,218117,Paperboy Love Prince,1,0,False
23002,219978,Kathryn A. Garcia,50,90,True
23002,219469,Maya D. Wiley,11,0,True
23002,218127,Raymond J. McGuire,9,0,True
23002,221141,Art Chang,1,0,False
23002,217572,Eric L. Adams,35,47,True
23002,217654,Aaron S. Foldenauer,1,0,False
23002,218491,Dianne Morales,1,0,True
23002,221183,Shaun Donovan,5,0,True
23003,217572,Eric L. Adams,35,53,True
23003,217796,Andrew Yang,33,0,True
23003,217605,Scott M. Stringer,11,0,True
23003,219978,Kathryn A. Garcia,37,63,True
23003,218922,Joycelyn Taylor,1,0,False
23003,219469,Maya D. Wiley,9,0,True
23003,218127,Raymond J. McGuire,9,0,True
23003,221141,Art Chang,1,0,False
23003,218491,Dianne Morales,2,0,True
23003,221183,Shaun Donovan,5,0,True
23004,217796,Andrew Yang,5,0,True
23004,217572,Eric L. Adams,5,6,True
23004,217605,Scott M. Stringer,3,0,True
23004,219978,Kathryn A. Garcia,14,25,True
23004,219469,Maya D. Wiley,1,0,True
23004,218127,Raymond J. McGuire,3,0,True
23004,218491,Dianne Morales,0,0,True
23004,221183,Shaun Donovan,2,0,True
23005,217572,Eric L. Adams,31,40,True
23005,217796,Andrew Yang,30,0,True
23005,217605,Scott M. Stringer,13,0,True
23005,219978,Kathryn A. Garcia,60,104,True
23005,219469,Maya D. Wiley,14,0,True
23005,218127,Raymond J. McGuire,11,0,True
23005,218491,Dianne Morales,1,0,True
23005,221183,Shaun Donovan,2,0,True
23006,217572,Eric L. Adams,58,72,True
23006,217605,Scott M. Stringer,20,0,True
23006,217796,Andrew Yang,17,0,True
23006,219978,Kathryn A. Garcia,67,100,True
23006,219469,Maya D. Wiley,14,0,True
23006,218127,Raymond J. McGuire,7,0,True
23006,221141,Art Chang,1,0,False
23006,218491,Dianne Morales,0,0,True
23006,221183,Shaun Donovan,4,0,True
23007,217572,Eric L. Adams,38,61,True
23007,217796,Andrew Yang,28,0,True
23007,217605,Scott M. Stringer,12,0,True
23007,219978,Kathryn A. Garcia,59,96,True
23007,219469,Maya D. Wiley,12,0,True
23007,218127,Raymond J. McGuire,19,0,True
23007,221141,Art Chang,1,0,False
23007,217654,Aaron S. Foldenauer,1,0,False
23007,218491,Dianne Morales,2,0,True
23007,221183,Shaun Donovan,6,0,True
23008,217796,Andrew Yang,33,0,True
23008,217605,Scott M. Stringer,21,0,True
23008,218117,Paperboy Love Prince,1,0,False
23008,219978,Kathryn A. Garcia,87,136,True
23008,219469,Maya D. Wiley,19,0,True
23008,218127,Raymond J. McGuire,8,0,True
23008,221141,Art Chang,3,0,False
23008,217572,Eric L. Adams,37,61,True
23008,217654,Aaron S. Foldenauer,1,0,False
23008,218491,Dianne Morales,3,0,True
23008,221183,Shaun Donovan,11,0,True
23009,217572,Eric L. Adams,32,49,True
23009,217796,Andrew Yang,27,0,True
23009,217605,Scott M. Stringer,12,0,True
23009,218117,Paperboy Love Prince,2,0,False
23009,219978,Kathryn A. Garcia,64,93,True
23009,219469,Maya D. Wiley,9,0,True
23009,218127,Raymond J. McGuire,6,0,True
23009,218491,Dianne Morales,2,0,True
23009,221183,Shaun Donovan,7,0,True
23010,217796,Andrew Yang,25,0,True
23010,217605,Scott M. Stringer,16,0,True
23010,218117,Paperboy Love Prince,1,0,False
23010,219978,Kathryn A. Garcia,53,87,True
23010,219469,Maya D. Wiley,18,0,True
23010,218127,Raymond J. McGuire,2,0,True
23010,221458,Isaac Wright Jr.,1,0,False
23010,221141,Art Chang,3,0,False
23010,217572,Eric L. Adams,41,52,True
23010,217654,Aaron S. Foldenauer,1,0,False
23010,218491,Dianne Morales,4,0,True
23010,221183,Shaun Donovan,3,0,True
23011,217796,Andrew Yang,36,0,True
23011,217572,Eric L. Adams,29,42,True
23011,217605,Scott M. Stringer,17,0,True
23011,218117,Paperboy Love Prince,1,0,False
23011,219978,Kathryn A. Garcia,64,109,True
23011,219469,Maya D. Wiley,20,0,True
23011,218127,Raymond J. McGuire,2,0,True
23011,217654,Aaron S. Foldenauer,3,0,False
23011,218491,Dianne Morales,3,0,True
23011,221183,Shaun Donovan,5,0,True
23012,217796,Andrew Yang,24,0,True
23012,217605,Scott M. Stringer,10,0,True
23012,218117,Paperboy Love Prince,2,0,False
23012,219978,Kathryn A. Garcia,34,77,True
23012,219469,Maya D. Wiley,41,0,True
23012,218127,Raymond J. McGuire,6,0,True
23012,221141,Art Chang,2,0,False
23012,217572,Eric L. Adams,38,64,True
23012,218922,Joycelyn Taylor,2,0,False
23012,217654,Aaron S. Foldenauer,1,0,False
23012,218491,Dianne Morales,6,0,True
23012,221183,Shaun Donovan,7,0,True
23013,217796,Andrew Yang,30,0,True
