ed,candidacy_id,name,first_choice,final_round,is_major
23001,1,Catherine Rojas,5,5,True
23001,2,Curtis A. Sliwa,469,469,True
23001,3,Eric L. Adams,107,107,True
23001,4,Fernando Mateo,0,0,False
23001,5,Quanda S. Francis,1,1,False
23001,6,Raja Michael Flores,0,0,False
23001,7,Skiboky Stora,0,0,False
23001,8,Stacey H. Prussman,2,2,False
23001,9,William A. Pepitone,49,49,True
23002,1,Catherine Rojas,1,1,True
23002,2,Curtis A. Sliwa,499,499,True
23002,3,Eric L. Adams,106,106,True
23002,4,Fernando Mateo,0,0,False
23002,5,Quanda S. Francis,0,0,False
23002,6,Raja Michael Flores,0,0,False
23002,7,Skiboky Stora,0,0,False
23002,8,Stacey H. Prussman,1,1,False
23002,9,William A. Pepitone,56,56,True
23003,1,Catherine Rojas,1,1,True
23003,2,Curtis A. Sliwa,475,475,True
23003,3,Eric L. Adams,78,78,True
23003,4,Fernando Mateo,1,1,False
23003,5,Quanda S. Francis,0,0,False
23003,6,Raja Michael Flores,1,1,False
23003,7,Skiboky Stora,0,0,False
23003,8,Stacey H. Prussman,1,1,False
23003,9,William A. Pepitone,41,41,True
23004,1,Catherine Rojas,1,1,True
23004,2,Curtis A. Sliwa,66,66,True
23004,3,Eric L. Adams,27,27,True
23004,4,Fernando Mateo,0,0,False
23004,5,Quanda S. Francis,0,0,False
23004,6,Raja Michael Flores,0,0,False
23004,7,Skiboky Stora,0,0,False
23004,8,Stacey H. Prussman,0,0,False
23004,9,William A. Pepitone,3,3,True
23005,1,Catherine Rojas,4,4,True
23005,2,Curtis A. Sliwa,311,311,True
23005,3,Eric L. Adams,135,135,True
23005,4,Fernando Mateo,0,0,False
23005,5,Quanda S. Francis,0,0,False
23005,6,Raja Michael Flores,0,0,False
23005,7,Skiboky Stora,0,0,False
23005,8,Stacey H. Prussman,0,0,False
23005,9,William A. Pepitone,8,8,True
23006,1,Catherine Rojas,4,4,True
23006,2,Curtis A. Sliwa,357,357,True
23006,3,Eric L. Adams,129,129,True
23006,4,Fernando Mateo,0,0,False
23006,5,Quanda S. Francis,0,0,False
23006,6,Raja Michael Flores,0,0,False
23006,7,Skiboky Stora,0,0,False
23006,8,Stacey H. Prussman,0,0,False
23006,9,William A. Pepitone,13,13,True
23007,1,Catherine Rojas,3,3,True
23007,2,Curtis A. Sliwa,395,395,True
23007,3,Eric L. Adams,128,128,True
23007,4,Fernando Mateo,0,0,False
23007,5,Quanda S. Francis,3,3,False
23007,6,Raja Michael Flores,0,0,False
23007,7,Skiboky Stora,0,0,False
23007,8,Stacey H. Prussman,1,1,False
23007,9,William A. Pepitone,10,10,True
23008,1,Catherine Rojas,4,4,True
23008,2,Curtis A. Sliwa,377,377,True
23008,3,Eric L. Adams,160,160,True
23008,4,Fernando Mateo,1,1,False
23008,5,Quanda S. Francis,0,0,False
23008,6,Raja Michael Flores,0,0,False
23008,7,Skiboky Stora,0,0,False
23008,8,Stacey H. Prussman,3,3,False
23008,9,William A. Pepitone,28,28,True
23009,1,Catherine Rojas,5,5,True
23009,2,Curtis A. Sliwa,379,379,True
23009,3,Eric L. Adams,120,120,True
23009,4,Fernando Mateo,1,1,False
23009,5,Quanda S. Francis,0,0,False
23009,6,Raja Michael Flores,0,0,False
23009,7,Skiboky Stora,1,1,False
23009,8,Stacey H. Prussman,1,1,False
23009,9,William A. Pepitone,12,12,True
23010,1,Catherine Rojas,4,4,True
23010,2,Curtis A. Sliwa,293,293,True
23010,3,Eric L. Adams,134,134,True
23010,4,Fernando Mateo,0,0,False
23010,5,Quanda S. Francis,1,1,False
23010,6,Raja Michael Flores,0,0,False
23010,7,Skiboky Stora,0,0,False
23010,8,Stacey H. Prussman,0,0,False
23010,9,William A. Pepitone,15,15,True
23011,1,Catherine Rojas,12,12,True
23011,2,Curtis A. Sliwa,302,302,True
23011,3,Eric L. Adams,145,145,True
23011,4,Fernando Mateo,0,0,False
23011,5,Quanda S. Francis,1,1,False
23011,6,Raja Michael Flores,1,1,False
23011,7,Skiboky Stora,0,0,False
23011,8,Stacey H. Prussman,2,2,False
23011,9,William A. Pepitone,26,26,True
23012,1,Catherine Rojas,7,7,True
23012,2,Curtis A. Sliwa,177,177,True
23012,3,Eric L. Adams,144,144,True
23012,4,Fernando Mateo,0,0,False
23012,5,Quanda S. Francis,0,0,False
23012,6,Raja Michael Flores,0,0,False
23012,7,Skiboky Stora,0,0,False
23012,8,Stacey H. Prussman,0,0,False
23012,9,William A. Pepitone,12,12,True
23013,1,Catherine Rojas,8,8,True
23013,2,Curtis A. Sliwa,250,250,True
23013,3,Eric L. Adams,163,163,True
23013,4,Fernando Mateo,0,0,False
23013,5,Quanda S. Francis,2,2,False
23013,6,Raja Michael Flores,1,1,False
23013,7,Skiboky Stora,0,0,False
23013,8,Stacey H. Prussman,0,0,False
23013,9,William A. Pepitone,15,15,True
23014,1,Catherine Rojas,4,4,True
23014,2,Curtis A. Sliwa,368,368,True
23014,3,Eric L. Adams,148,148,True
23014,4,Fernando Mateo,0,0,False
23014,5,Quanda S. Francis,1,1,False
23014,6,Raja Michael Flores,3,3,False
23014,7,Skiboky Stora,0,0,False
23014,8,Stacey H. Prussman,2,2,False
23014,9,William A. Pepitone,18,18,True
23015,1,Catherine Rojas,1,1,True
23015,2,Curtis A. Sliwa,127,127,True
23015,3,Eric L. Adams,122,122,True
23015,4,Fernando Mateo,0,0,False
23015,5,Quanda S. Francis,1,1,False
23015,6,Raja Michael Flores,0,0,False
23015,7,Skiboky Stora,0,0,False
23015,8,Stacey H. Prussman,0,0,False
23015,9,William A. Pepitone,3,3,True
23016,1,Catherine Rojas,4,4,True
23016,2,Curtis A. Sliwa,117,117,True
23016,3,Eric L. Adams,118,118,True
23016,4,Fernando Mateo,0,0,False
23016,5,Quanda S. Francis,0,0,False
23016,6,Raja Michael Flores,0,0,False
23016,7,Skiboky Stora,0,0,False
23016,8,Stacey H. Prussman,0,0,False
23016,9,William A. Pepitone,2,2,True
23017,1,Catherine Rojas,2,2,True
23017,2,Curtis A. Sliwa,105,105,True
23017,3,Eric L. Adams,140,140,True
23017,4,Fernando Mateo,0,0,False
23017,5,Quanda S. Francis,0,0,False
23017,6,Raja Michael Flores,0,0,False
23017,7,Skiboky Stora,0,0,False
