ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
23001,633,633,633,0,Curtis A. Sliwa,74.0916271721959,0,Curtis A. Sliwa,74.0916271721959
23002,663,663,663,0,Curtis A. Sliwa,75.26395173453997,0,Curtis A. Sliwa,75.26395173453997
23003,598,598,598,0,Curtis A. Sliwa,79.4314381270903,0,Curtis A. Sliwa,79.4314381270903
23004,97,97,97,0,Curtis A. Sliwa,68.04123711340206,0,Curtis A. Sliwa,68.04123711340206
23005,458,458,458,0,Curtis A. Sliwa,67.90393013100436,0,Curtis A. Sliwa,67.90393013100436
23006,503,503,503,0,Curtis A. Sliwa,70.9741550695825,0,Curtis A. Sliwa,70.9741550695825
23007,540,540,540,0,Curtis A. Sliwa,73.14814814814815,0,Curtis A. Sliwa,73.14814814814815
23008,573,573,573,0,Curtis A. Sliwa,65.79406631762653,0,Curtis A. Sliwa,65.79406631762653
23009,519,519,519,0,Curtis A. Sliwa,73.02504816955684,0,Curtis A. Sliwa,73.02504816955684
23010,447,447,447,0,Curtis A. Sliwa,65.54809843400447,0,Curtis A. Sliwa,65.54809843400447
23011,489,489,489,0,Curtis A. Sliwa,61.75869120654397,0,Curtis A. Sliwa,61.75869120654397
23012,340,340,340,0,Curtis A. Sliwa,52.05882352941177,0,Curtis A. Sliwa,52.05882352941177
23013,439,439,439,0,Curtis A. Sliwa,56.947608200455576,0,Curtis A. Sliwa,56.947608200455576
23014,544,544,544,0,Curtis A. Sliwa,67.64705882352942,0,Curtis A. Sliwa,67.64705882352942
23015,254,254,254,0,Curtis A. Sliwa,50.0,0,Curtis A. Sliwa,50.0
23016,241,241,241,0,Eric L. Adams,48.96265560165975,0,Eric L. Adams,48.96265560165975
23017,251,251,251,0,Eric L. Adams,55.77689243027888,0,Eric L. Adams,55.77689243027888
23018,213,213,213,0,Eric L. Adams,71.83098591549296,0,Eric L. Adams,71.83098591549296
23019,187,187,187,0,Eric L. Adams,65.24064171122996,0,Eric L. Adams,65.24064171122996
23021,316,316,316,0,Eric L. Adams,66.13924050632912,0,Eric L. Adams,66.13924050632912
23023,93,93,93,0,Eric L. Adams,64.51612903225806,0,Eric L. Adams,64.51612903225806
23024,165,165,165,0,Eric L. Adams,90.9090909090909,0,Eric L. Adams,90.9090909090909
23025,296,296,296,0,Eric L. Adams,58.78378378378378,0,Eric L. Adams,58.78378378378378
23026,240,240,240,0,Eric L. Adams,78.75,0,Eric L. Adams,78.75
23027,405,405,405,0,Eric L. Adams,60.98765432098765,0,Eric L. Adams,60.98765432098765
23028,278,278,278,0,Eric L. Adams,58.27338129496403,0,Eric L. Adams,58.27338129496403
23029,183,183,183,0,Eric L. Adams,78.68852459016394,0,Eric L. Adams,78.68852459016394
23030,190,190,190,0,Eric L. Adams,81.05263157894737,0,Eric L. Adams,81.05263157894737
23031,198,198,198,0,Eric L. Adams,80.8080808080808,0,Eric L. Adams,80.8080808080808
23032,145,145,145,0,Eric L. Adams,91.72413793103448,0,Eric L. Adams,91.72413793103448
23033,192,192,192,0,Eric L. Adams,87.5,0,Eric L. Adams,87.5
23034,174,174,174,0,Eric L. Adams,86.7816091954023,0,Eric L. Adams,86.7816091954023
23035,211,211,211,0,Eric L. Adams,75.82938388625593,0,Eric L. Adams,75.82938388625593
23036,318,318,318,0,Eric L. Adams,57.54716981132076,0,Eric L. Adams,57.54716981132076
23037,343,343,343,0,Eric L. Adams,60.64139941690962,0,Eric L. Adams,60.64139941690962
23038,59,59,59,0,Eric L. Adams,83.05084745762711,0,Eric L. Adams,83.05084745762711
23039,376,376,376,0,Eric L. Adams,62.76595744680851,0,Eric L. Adams,62.76595744680851
23040,461,461,461,0,Curtis A. Sliwa,80.4772234273319,0,Curtis A. Sliwa,80.4772234273319
23041,375,375,375,0,Curtis A. Sliwa,81.86666666666666,0,Curtis A. Sliwa,81.86666666666666
23042,184,184,184,0,Eric L. Adams,87.5,0,Eric L. Adams,87.5
23043,100,100,100,0,Eric L. Adams,63.0,0,Eric L. Adams,63.0
23044,368,368,368,0,Curtis A. Sliwa,79.8913043478261,0,Curtis A. Sliwa,79.8913043478261
23045,544,544,544,0,Curtis A. Sliwa,78.125,0,Curtis A. Sliwa,78.125
23046,467,467,467,0,Curtis A. Sliwa,81.79871520342613,0,Curtis A. Sliwa,81.79871520342613
23047,334,334,334,0,Curtis A. Sliwa,83.53293413173652,0,Curtis A. Sliwa,83.53293413173652
23048,304,304,304,0,Curtis A. Sliwa,76.64473684210526,0,Curtis A. Sliwa,76.64473684210526
23049,530,530,530,0,Curtis A. Sliwa,83.77358490566039,0,Curtis A. Sliwa,83.77358490566039
23050,426,426,426,0,Curtis A. Sliwa,74.17840375586854,0,Curtis A. Sliwa,74.17840375586854
23051,473,473,473,0,Curtis A. Sliwa,80.54968287526427,0,Curtis A. Sliwa,80.54968287526427
23052,479,479,479,0,Curtis A. Sliwa,76.40918580375782,0,Curtis A. Sliwa,76.40918580375782
23053,328,328,328,0,Curtis A. Sliwa,58.84146341463414,0,Curtis A. Sliwa,58.84146341463414
23054,277,277,277,0,Curtis A. Sliwa,62.8158844765343,0,Curtis A. Sliwa,62.8158844765343
23055,257,257,257,0,Curtis A. Sliwa,59.53307392996109,0,Curtis A. Sliwa,59.53307392996109
23056,201,201,201,0,Eric L. Adams,51.243781094527364,0,Eric L. Adams,51.243781094527364
23057,249,249,249,0,Eric L. Adams,53.81526104417671,0,Eric L. Adams,53.81526104417671
23058,293,293,293,0,Eric L. Adams,47.098976109215016,0,Eric L. Adams,47.098976109215016
23059,223,223,223,0,Eric L. Adams,56.502242152466366,0,Eric L. Adams,56.502242152466366
23060,230,230,230,0,Eric L. Adams,51.73913043478261,0,Eric L. Adams,51.73913043478261
23061,355,355,355,0,Curtis A. Sliwa,61.12676056338028,0,Curtis A. Sliwa,61.12676056338028
23062,427,427,427,0,Curtis A. Sliwa,58.07962529274005,0,Curtis A. Sliwa,58.07962529274005
23063,314,314,314,0,Curtis A. Sliwa,53.18471337579618,0,Curtis A. Sliwa,53.18471337579618
23064,456,456,456,0,Curtis A. Sliwa,61.8421052631579,0,Curtis A. Sliwa,61.8421052631579
23065,333,333,333,0,Curtis A. Sliwa,54.95495495495496,0,Curtis A. Sliwa,54.95495495495496
23066,146,146,146,0,Eric L. Adams,62.328767123287676,0,Eric L. Adams,62.328767123287676
23067,125,125,125,0,Eric L. Adams,80.0,0,Eric L. Adams,80.0
23068,121,121,121,0,Eric L. Adams,73.55371900826447,0,Eric L. Adams,73.55371900826447
23069,142,142,142,0,Eric L. Adams,51.40845070422535,0,Eric L. Adams,51.40845070422535
23070,185,185,185,0,Eric L. Adams,51.35135135135135,0,Eric L. Adams,51.35135135135135
23072,0,0,0,0,,0.0,0,,0.0
23074,0,0,0,0,,0.0,0,,0.0
23075,0,0,0,0,,0.0,0,,0.0
23076,0,0,0,0,,0.0,0,,0.0
23083,0,0,0,0,,0.0,0,,0.0
23084,202,202,202,0,Curtis A. Sliwa,59.900990099009896,0,Curtis A. Sliwa,59.900990099009896
23085,294,294,294,0,Eric L. Adams,48.29931972789115,0,Eric L. Adams,48.29931972789115
23086,212,212,212,0,Eric L. Adams,51.41509433962265,0,Eric L. Adams,51.41509433962265
23087,204,204,204,0,Eric L. Adams,52.94117647058824,0,Eric L. Adams,52.94117647058824
23088,146,146,146,0,Eric L. Adams,68.4931506849315,0,Eric L. Adams,68.4931506849315
23089,191,191,191,0,Curtis A. Sliwa,54.973821989528794,0,Curtis A. Sliwa,54.973821989528794
23090,353,353,353,0,Curtis A. Sliwa,79.60339943342775,0,Curtis A. Sliwa,79.60339943342775
23091,16,16,16,0,Eric L. Adams,56.25,0,Eric L. Adams,56.25
23092,410,410,410,0,Curtis A. Sliwa,69.51219512195121,0,Curtis A. Sliwa,69.51219512195121
23093,199,199,199,0,Curtis A. Sliwa,49.246231155778894,0,Curtis A. Sliwa,49.246231155778894
24001,204,204,204,0,Eric L. Adams,49.50980392156863,0,Eric L. Adams,49.50980392156863
24002,299,299,299,0,Eric L. Adams,58.52842809364549,0,Eric L. Adams,58.52842809364549
24003,284,284,284,0,Eric L. Adams,53.52112676056338,0,Eric L. Adams,53.52112676056338
24004,222,222,222,0,Curtis A. Sliwa,48.64864864864865,0,Curtis A. Sliwa,48.64864864864865
24005,254,254,254,0,Eric L. Adams,54.7244094488189,0,Eric L. Adams,54.7244094488189
24006,261,261,261,0,Eric L. Adams,56.70498084291188,0,Eric L. Adams,56.70498084291188
