candidacy_id,name
254001,Mark D. Levine
254003,Susan Liebman
254004,Marisa Arrabito
254014,Jumaane D. Williams
254018,Khari O. Edwards
254034,Antonio Reynoso
254049,Kevin S. Parker
254052,Andrew M. Cuomo
254054,Jenifer Rajkumar
254119,Fernando Cabrera
254129,Faith A. Bondy
254130,Brad Lander
254131,Myrna Lepree
254133,Justin Brannan
254134,Gabriel S. Turzo
254135,Benjamin Wetzler
254136,Shahana K. Hanif
254138,Keith Powers
254140,Harvey D. Epstein
254141,Sara C. Valenzuela
254143,Bridgette Ahn
254144,Judith Gross
254146,Charles Martin Arnold
254148,Kayla Santosuosso
254149,Faith A. Bondy
254150,Charles Sturcken
254152,Gregory L. Lambert
254153,John K. Buthorn
254154,Darlene Mealy
254157,Ayo Harrington
254161,Michael J. Schweinsburg
254167,Alana Sivin
254170,Danniel Maio
254174,Marquis Jenkins (M)
254179,Ciara Marie Lugo (F)
254184,Rafael Salamanca Jr.
254254,Alvin L. Bragg Jr.
254257,Brad Hoylman-Sigal
254259,Erik D. Bottcher
254271,Lincoln Restler
254272,Crystal Hudson
254286,Zohran Kwame Mamdani
254299,Wilfredo Lopez
254301,Andy King
254304,Hector Robertson
254311,Juliette-Noor Haji
254313,Chi Ajani Osse
254340,Benjamin D. Wetzler
254341,Phil Wong
254358,Saundrea I. Coleman (F)
254365,Jessica Ramos
254366,Mercedes Narcisse
254368,Sarah Batchu
254369,Magda Napoleon (F)
254370,Ron Thomas (M)
254371,Jasmin Sanchez (F)
254372,Shanel Thomas-Henry
254390,Maya Kornberg
254393,Scott M. Stringer
254397,Vanessa Aronson
254410,Janice P. Purvis
254432,Malcolm Penn White (M)
254433,Latoya L. LeGrand
254436,Julie Menin
254438,Nickie Kane
254443,Janice Chen
254459,Elsie Encarnacion
254460,Paul Casali (M)
254462,Kamillah M. Hanks
254468,Jessica Florenciany
254470,Lahoma Shipman
254472,Eloisa L. Rowe-Barnett
254474,Iris Cabrera
254475,Sharon L. Irby
254477,Larry Fernandez
254479,Joseph A. Yanis
254480,Maritza Rodriguez
254489,Kevin C. Riley
254497,Vanessa L. Gibson
254499,Shekera Anessa Algarin
254520,Eric Dinowitz
254536,Elizabeth Lewinsohn
254539,Eve Cho Guillergan
254545,Shirley Aldebol
254552,Thomas G. Wright-Fernandez
254563,John J. Ciafone
254566,Andrea Gordillo
254570,Julie M. Milner
254573,Yanna M. Henriquez
254575,Pierina A. Sanchez
254581,Sheridan C. Chu
254593,David Aiken
254604,Elvis L. Santana
254607,Michael Blake
254617,Ismael Malave Perez
254623,Federico Colon
254631,Peter Kefalas
254647,Dimple Willabus
254668,Bryan Hodge Vasquez
254683,Edafe Okporo
254685,Frank Morano
254692,Justin E. Sanchez
254694,Ty Hankerson
254700,Althea V. Stevens
254740,Marty Dolan
254744,George M. Santana
254756,Christopher Marte
254761,Benjamin A. Akselrod (M)
254764,Rebecca S. Weintraub (F)
254815,Dermot P. Smyth
254834,Diana L. Ayala (F)
254866,Patrick John Timmins
254872,John Ruiz Miranda
254880,Melissa Mark Viverito
254883,Japneet Singh
254910,William Smith
254915,Maria Ordonez (F)
254919,Xavier Santiago
254920,Luis Ordonez (M)
254931,Desmond Cadogan
254934,Alexandra Marks
254938,Jonathan Brown
254940,Ali Diini
254943,Connor McGrath
254945,Debra Green
254946,Nina Saxon
254950,Antonio Calcano
254953,Diana I. Ayala
254954,Nicole Press
254956,Sabrina Bacote
254960,Sarhay Acosta
254962,Diana Rodriguez
254963,Beverly MacFarlane
254967,T. M. Bumpars-Ebanks
254970,Monisha Mapp
254981,Faheem Abdur-Razaaq
254987,Teisha McKoy
254996,Melanie Ruiz
254999,Melinda Velez
255006,Kaliris Salas-Ramirez
255010,Juhaib Choudhury
255013,Exodus Murphy Jr.
255015,Patricia Del Pilar
255018,Evelis Galarza-Serrano
255021,Anthony Brown
255024,Steven Travis
255026,Joannie Acevedo
255167,Jess Coleman
255173,Karen Koslowitz
255174,Matthew M. Mandell
255175,Ronnie Croce
255177,Kevin Ly
255178,Edwin K. Wong
255179,Sandra S. Mandell
255181,David Aronov
255182,Denise D. Rachnaev
255184,Lilianna Zulunova
255185,Mary Ellen G. Courtney
255187,Myrna C. Jacobson
255188,Ting Yan Wu
255190,Nina V. Kulkarni
255191,Sharon Levy
255193,Lara M. Evangelista
255275,Shaun Abreu
255451,Randolph P. Mark
255456,Earlette Simpson 
255483,Jewel Jones
255625,Shekar Krishnan
255649,Deborah Glick
255657,Kathryn Freed
255661,David Siffert
255664,Eliza Orlins
255667,Anthony S. Hoffmann
255670,Allen N. Roskoff
255672,Susan Barrie
255677,Sheila R. Rule
255678,Patricia Laraia
255679,Morton Minsley
255680,Daniel Palmisano
255681,Richard Corman
255683,Linda Jacobson
255684,Dennis Gault
255686,Melissa Carty
255687,Jeannine Kiely
255688,Alfred Fuente
255689,Timothy Wong
255690,Karla Moskowitz
255693,Chris J. Marchitello
